Company,TypeName,Inches,Touchscreen,Ips,X_res,Y_res,ppi,Cpu_brand,Cpu_freq,Ram,HDD,SSD,Gpu_brand,OpSys,Weight,Price
Apple,Ultrabook,13.3,0,1,2560.0,1600.0,226.98300468106115,Intel Core i5,2.3,8.0,0,128,Intel,macOS,1.37,71378.6832
Apple,Ultrabook,13.3,0,0,1440.0,900.0,127.67794013309688,Intel Core i5,1.8,8.0,0,0,Intel,macOS,1.34,47895.5232
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,0,256,Intel,No OS,1.86,30636.0
Apple,Ultrabook,15.4,0,1,2880.0,1800.0,220.53462386625827,Intel Core i7,2.7,16.0,0,512,AMD,macOS,1.83,135195.33599999998
Apple,Ultrabook,13.3,0,1,2560.0,1600.0,226.98300468106115,Intel Core i5,3.1,8.0,0,256,Intel,macOS,1.37,96095.808
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,3.0,4.0,500,0,AMD,Windows 10,2.1,21312.0
Apple,Ultrabook,15.4,0,1,2880.0,1800.0,220.53462386625827,Intel Core i7,2.2,16.0,0,0,Intel,Mac OS X,2.04,114017.6016
Apple,Ultrabook,13.3,0,0,1440.0,900.0,127.67794013309688,Intel Core i5,1.8,8.0,0,0,Intel,macOS,1.34,61735.536
Asus,Ultrabook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i7,1.8,16.0,0,512,Nvidia,Windows 10,1.3,79653.59999999999
Acer,Ultrabook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.6,41025.6
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,4.0,500,0,Intel,No OS,1.86,20986.992
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,500,0,Intel,No OS,1.86,18381.0672
Apple,Ultrabook,15.4,0,1,2880.0,1800.0,220.53462386625827,Intel Core i7,2.8,16.0,0,256,AMD,macOS,1.83,130001.6016
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,0,256,AMD,Windows 10,2.2,26581.392
Apple,Ultrabook,12.0,0,1,2304.0,1440.0,226.41554716935852,Other Intel Processor,1.2,8.0,0,256,Intel,macOS,0.92,67260.672
Apple,Ultrabook,13.3,0,1,2560.0,1600.0,226.98300468106115,Intel Core i5,2.3,8.0,0,256,Intel,macOS,1.37,80908.344
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.7,8.0,0,256,AMD,Windows 10,2.2,39693.6
Apple,Ultrabook,15.4,0,1,2880.0,1800.0,220.53462386625827,Intel Core i7,2.9,16.0,0,512,AMD,macOS,1.83,152274.24
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.4,8.0,1000,0,Nvidia,No OS,2.2,26586.72
Dell,Ultrabook,13.3,1,1,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,128,Intel,Windows 10,1.22,52161.12
Asus,Netbook,11.6,0,0,1366.0,768.0,135.0942111925629,Other Intel Processor,1.44,2.0,0,0,Intel,Windows 10,0.98,10224.432
Lenovo,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,1000,128,Nvidia,Windows 10,2.5,53226.72
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,1.5,4.0,500,0,AMD,No OS,1.86,13746.24
Dell,2 in 1 Convertible,13.3,1,0,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.62,43636.32
HP,Ultrabook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.91,35111.52
Dell,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.0,4.0,1000,0,Intel,Windows 10,2.3,22305.1392
Apple,Ultrabook,13.3,0,0,1440.0,900.0,127.67794013309688,Intel Core i5,1.6,8.0,0,0,Intel,Mac OS X,1.35,58554.72
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,8.0,0,256,AMD,Windows 10,2.2,42624.0
Dell,Ultrabook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.9,8.0,0,512,Intel,Windows 10,1.88,69157.44
HP,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,8.0,1000,0,Nvidia,Windows 10,2.5,47738.88
Chuwi,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Other Intel Processor,1.44,4.0,0,0,Intel,Windows 10,1.89,13053.0672
Asus,Notebook,14.0,0,0,1366.0,768.0,111.93520355955211,AMD Processor,1.5,2.0,0,0,AMD,Windows 10,1.65,10602.72
HP,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,AMD Processor,2.5,4.0,500,0,AMD,Windows 10,2.71,23389.92
Dell,Ultrabook,13.3,1,0,3200.0,1800.0,276.053530085501,Intel Core i7,1.8,16.0,0,512,Intel,Windows 10,1.2,99580.32
Apple,Ultrabook,13.3,0,0,1440.0,900.0,127.67794013309688,Intel Core i5,1.6,8.0,0,0,Intel,Mac OS X,1.35,53173.44
Lenovo,Notebook,14.0,0,0,1366.0,768.0,111.93520355955211,Other Intel Processor,1.1,4.0,0,0,Intel,Windows 10,1.44,13266.72
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.7,4.0,1000,0,Intel,Linux,2.1,19553.76
Dell,Notebook,17.3,0,1,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,8.0,1000,128,AMD,Windows 10,2.8,52161.12
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,4.0,1000,0,Intel,Windows 10,1.86,26037.4032
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,8.0,0,256,Nvidia,Windows 10,2.1,46833.12
Asus,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,1000,0,Intel,Linux,2.0,20725.92
Dell,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,1000,256,Nvidia,Windows 10,2.65,79866.72
Asus,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,8.0,1000,0,Nvidia,Linux,2.3,27864.9072
Acer,Notebook,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,4.0,0,256,Intel,Windows 10,2.2,36336.96
Dell,2 in 1 Convertible,17.3,1,0,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,12.0,1000,0,Nvidia,Windows 10,2.77,53226.72
Apple,Ultrabook,13.3,0,1,2560.0,1600.0,226.98300468106115,Intel Core i5,2.0,8.0,0,256,Intel,macOS,1.37,75604.31999999999
Lenovo,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.0,4.0,0,128,Intel,No OS,2.2,19660.32
Asus,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,AMD Processor,3.0,8.0,1000,256,AMD,Windows 10,3.2,69210.72
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,4.0,0,256,AMD,Windows 10,2.3,34045.92
Asus,Notebook,17.3,0,0,1366.0,768.0,90.58340172449303,Other Intel Processor,1.1,4.0,1000,0,Nvidia,Windows 10,2.8,24828.48
Lenovo,2 in 1 Convertible,10.1,1,1,1920.0,1200.0,224.17380907857276,Other Intel Processor,1.44,4.0,0,0,Intel,Android,0.69,16996.32
Acer,Notebook,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,Nvidia,Windows 10,2.2,44808.48
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,AMD Processor,2.5,4.0,0,256,AMD,Windows 10,1.86,21231.5472
HP,Notebook,13.3,0,0,1920.0,1080.0,165.6321180513006,Intel Core i7,1.8,8.0,0,512,Intel,Windows 10,1.49,58767.84
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.4,4.0,1000,0,Intel,Windows 10,2.4,20459.52
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,AMD,Windows 10,2.13,40908.384
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,0,128,Intel,Windows 10,1.91,23389.92
Asus,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,4.0,0,256,Intel,Windows 10,2.0,31232.203200000004
MSI,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,2.8,16.0,2000,256,Nvidia,Windows 10,2.43,130482.72
Asus,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,0,256,Intel,Linux,2.0,22111.2
Dell,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,1.8,16.0,2000,256,AMD,Windows 10,2.8,69210.72
Dell,Ultrabook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.7,46833.12
Lenovo,Notebook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i3,2.7,8.0,0,256,Intel,No OS,1.7,31914.72
Asus,Notebook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.4,50136.48
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,0,256,Intel,Windows 10,1.86,36763.2
Asus,Ultrabook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,0,512,Nvidia,Windows 10,1.8,105654.24
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.0,4.0,500,0,AMD,Windows 10,1.86,23373.4032
HP,Notebook,14.0,0,0,1366.0,768.0,111.93520355955211,Other Intel Processor,1.6,4.0,0,32,Intel,Windows 10,1.44,12201.12
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,4.0,1000,0,Intel,Windows 10,1.9,29250.72
Asus,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,2.8,12.0,1000,0,Nvidia,Linux,3.0,50562.72
Microsoft,Ultrabook,13.5,1,0,2256.0,1504.0,200.84255993695703,Intel Core i5,2.5,4.0,0,128,Intel,Windows 10 S,1.252,58021.92
Dell,Ultrabook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i7,1.8,8.0,0,256,AMD,Windows 10,1.4,50882.4
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,AMD,Windows 10,2.2,46353.6
MSI,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i5,2.5,8.0,1000,128,Nvidia,Windows 10,2.7,58341.6
Acer,Notebook,14.0,0,0,1366.0,768.0,111.93520355955211,Intel Core i3,2.0,8.0,1000,0,Intel,Windows 10,2.1,20725.92
Asus,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,8.0,1000,0,Nvidia,Windows 10,2.2,50562.72
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,2000,0,Intel,No OS,2.2,27652.32
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,1000,128,Intel,Windows 10,2.02,45554.4
Acer,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.7,4.0,1000,0,Nvidia,Windows 10,2.2,28238.4
HP,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,8.0,1000,128,Nvidia,Windows 10,2.5,52054.56
Dell,Ultrabook,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.88,58403.4048
Apple,Ultrabook,12.0,0,1,2304.0,1440.0,226.41554716935852,Intel Core i5,1.3,8.0,0,512,Intel,macOS,0.92,80452.8
HP,Notebook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.63,45820.8
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,AMD Processor,2.5,4.0,0,128,AMD,Windows 10,2.2,21258.72
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,3.0,4.0,1000,0,AMD,Windows 10,2.1,21045.6
Dell,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,1000,128,Nvidia,Windows 10,2.65,71874.72
HP,Ultrabook,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,Nvidia,Windows 10,1.83,37242.72
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,0,256,Intel,Windows 10,1.96,31914.1872
Asus,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,1000,128,Nvidia,Windows 10,2.2,77202.72
Dell,Ultrabook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.21,87858.72
Asus,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,AMD Processor,3.0,8.0,1000,0,AMD,Windows 10,2.45,37242.72
Acer,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,1000,0,Nvidia,Windows 10,2.2,36709.92
HP,Notebook,13.3,0,0,1920.0,1080.0,165.6321180513006,Intel Core i7,1.8,16.0,0,512,Intel,Windows 10,1.49,63776.16
Dell,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,0,256,Nvidia,Windows 10,2.65,63669.6
Asus,Ultrabook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i7,2.7,8.0,0,256,Intel,Windows 10,1.25,55890.72
Acer,2 in 1 Convertible,13.3,1,1,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.5,45128.16
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.7,8.0,1000,0,AMD,Linux,2.2,31962.672
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,0,256,AMD,Linux,2.2,25840.8
Asus,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.4,6.0,0,256,Nvidia,Windows 10,2.0,30742.56
HP,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,12.0,1000,128,Nvidia,Windows 10,2.62,66546.72
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.7,8.0,0,256,AMD,Windows 10,1.91,38308.32
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,AMD Processor,1.5,4.0,500,0,AMD,Windows 10,2.1,18594.72
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,8.0,1000,0,AMD,Linux,2.2,34472.16
HP,Ultrabook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i7,2.7,8.0,0,256,Nvidia,Windows 10,1.38,59620.32
Microsoft,Ultrabook,13.5,1,0,2256.0,1504.0,200.84255993695703,Intel Core i5,2.5,8.0,0,256,Intel,Windows 10 S,1.252,71395.2
HP,Notebook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i5,2.5,6.0,0,256,Nvidia,Windows 10,1.58,35111.52
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,1000,0,Intel,Windows 10,1.85,22105.872
Asus,Ultrabook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i7,2.7,8.0,0,256,Nvidia,Windows 10,1.3,63563.04
MSI,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,1000,256,Nvidia,Windows 10,2.2,69210.72
Lenovo,Notebook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i7,2.7,8.0,0,256,Intel,Windows 10,1.58,78854.4
Asus,Ultrabook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,16.0,1000,256,Nvidia,Windows 10,1.5,67239.36
Dell,Ultrabook,13.3,1,0,3200.0,1800.0,276.053530085501,Intel Core i7,2.4,8.0,0,256,Intel,Windows 10,1.23,73473.12
Lenovo,2 in 1 Convertible,13.3,1,1,1920.0,1080.0,165.6321180513006,Intel Core i5,2.5,8.0,0,256,Intel,Windows 10,1.37,74538.72
HP,Notebook,14.0,0,1,1366.0,768.0,111.93520355955211,Intel Core i5,1.6,4.0,500,0,Intel,Windows 10,1.63,38468.16
Dell,Ultrabook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.21,86793.12
HP,2 in 1 Convertible,13.3,1,1,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.26,74538.1872
HP,Notebook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i7,1.8,8.0,0,512,Intel,Windows 10,1.63,57755.52
Dell,Notebook,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,1000,256,Nvidia,Windows 10,2.16,60223.98239999999
Asus,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i3,2.0,4.0,1000,0,Nvidia,Windows 10,2.0,30049.92
Asus,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,Nvidia,Windows 10,1.7,59567.04
Acer,Notebook,15.6,1,1,1920.0,1080.0,141.21199808219862,Intel Core i3,2.4,6.0,1000,0,Intel,Windows 10,2.1,25521.12
MSI,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,2000,256,Nvidia,Windows 10,1.8,119427.12
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,8.0,0,256,Nvidia,No OS,2.2,33513.119999999995
HP,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,1.8,16.0,0,512,Nvidia,Windows 10,2.5,67718.88
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,3.0,4.0,0,256,AMD,Windows 10,2.1,24029.28
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Other Intel Processor,1.6,4.0,500,0,Intel,No OS,1.86,13799.52
HP,Notebook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,1000,0,Intel,Windows 10,1.63,43263.36
Asus,Notebook,14.0,0,0,1366.0,768.0,111.93520355955211,AMD Processor,1.5,4.0,0,64,AMD,Windows 10 S,1.65,14811.3072
Dell,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,1.8,16.0,2000,256,AMD,Windows 10,2.8,74378.87999999999
HP,Notebook,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,2.5,49443.84
Dell,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,8.0,1000,0,AMD,Windows 10,2.36,34045.3872
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.0,4.0,1000,0,AMD,Windows 10,2.2,23922.72
Acer,Ultrabook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.6,47099.52
Acer,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i3,2.7,4.0,0,256,Nvidia,Windows 10,2.2,30476.16
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i7,2.7,8.0,1000,0,Intel,Windows 10,2.05,31861.44
HP,Notebook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.63,52640.64
Lenovo,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Other Intel Processor,1.1,4.0,1000,0,Intel,No OS,1.9,13445.7408
Asus,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i5,2.5,8.0,1000,128,Nvidia,Windows 10,3.0,49976.64
Lenovo,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,2.5,4.0,1000,0,Nvidia,No OS,2.2,26586.72
HP,Notebook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i5,2.5,4.0,0,256,Intel,Windows 10,1.32,37242.72
Acer,Notebook,17.3,0,1,1920.0,1080.0,127.33567457123111,Intel Core i3,2.7,4.0,1000,0,Nvidia,Windows 10,3.0,34898.4
Lenovo,Notebook,14.0,0,1,1920.0,1080.0,157.3505121487356,Intel Core i5,1.6,8.0,0,256,AMD,Windows 10,1.75,59461.5456
Lenovo,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,8.0,0,256,Nvidia,No OS,2.4,46300.32
Toshiba,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.3,4.0,500,0,Intel,Windows 10,2.1,32074.56
HP,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,2.5,4.0,0,256,AMD,Windows 10,1.86,19660.32
Asus,Ultrabook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.25,58554.72
HP,Ultrabook,12.5,1,1,3840.0,2160.0,352.4651472131677,Other Intel Processor,1.2,8.0,0,512,Intel,Windows 10,0.97,107305.92
Asus,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Other Intel Processor,1.1,4.0,1000,0,Intel,Windows 10,2.0,18328.32
MSI,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,2.8,16.0,1000,256,Nvidia,Windows 10,2.9,108105.12
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.0,4.0,1000,0,Intel,Windows 10,2.1,23816.16
Dell,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,0,512,Nvidia,Windows 10,2.56,66560.5728
Dell,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,8.0,0,0,Nvidia,Windows 10,2.62,47898.72
Lenovo,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i5,2.5,4.0,0,128,Intel,Windows 10,1.9,26533.44
MSI,Gaming,17.3,0,0,1920.0,1080.0,127.33567457123111,Intel Core i7,2.8,16.0,1000,256,Nvidia,Windows 10,2.8,100699.2
HP,Ultrabook,14.0,0,0,1920.0,1080.0,157.3505121487356,Intel Core i5,2.7,4.0,0,256,Intel,Windows 10,1.48,57648.96
HP,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,6.0,0,256,AMD,Windows 10,1.91,32980.32
Lenovo,2 in 1 Convertible,14.0,1,1,1920.0,1080.0,157.3505121487356,Intel Core i3,2.4,4.0,0,256,Intel,Windows 10,1.74,33513.119999999995
Asus,2 in 1 Convertible,13.3,1,0,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,8.0,0,256,Intel,Windows 10,1.1,70063.2
Dell,2 in 1 Convertible,15.6,1,0,1920.0,1080.0,141.21199808219862,Intel Core i7,1.8,8.0,0,256,Intel,Windows 10,1.56,55890.72
Toshiba,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.2,4.0,500,0,Intel,Windows 10,2.1,23816.16
Asus,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,3.0,4.0,1000,0,AMD,Windows 10,2.03,21471.84
Acer,Notebook,17.3,0,1,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,4.0,0,256,Nvidia,Windows 10,3.0,42890.4
Dell,Notebook,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i5,1.6,8.0,0,256,AMD,Windows 10,2.13,38787.84
Lenovo,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,0,256,Nvidia,Windows 10,2.5,57489.12
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Other Intel Processor,1.1,4.0,1000,0,Intel,Windows 10,2.1,18541.44
MSI,Gaming,15.6,0,1,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,16.0,1000,256,Nvidia,Windows 10,2.4,95850.72
Acer,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Other Intel Processor,1.1,4.0,1000,0,Intel,Windows 10,2.1,19367.8128
Dell,Gaming,15.6,0,0,1920.0,1080.0,141.21199808219862,Intel Core i7,2.8,8.0,1000,128,Nvidia,Windows 10,2.56,56502.9072
Acer,Notebook,17.3,0,1,1920.0,1080.0,127.33567457123111,Intel Core i5,1.6,8.0,0,256,Nvidia,Windows 10,3.0,45501.12
HP,Notebook,13.3,0,1,1920.0,1080.0,165.6321180513006,Intel Core i5,1.6,4.0,500,0,Intel,Windows 10,1.49,40173.12
Huawei,Ultrabook,13.0,0,1,2160.0,1440.0,199.69207064108247,Intel Core i5,2.5,8.0,0,256,Intel,Windows 10,1.05,71874.72
HP,Notebook,17.3,0,1,1920.0,1080.0,127.33567457123111,Intel Core i5,2.5,6.0,2000,0,AMD,Windows 10,2.71,37242.72
Lenovo,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,AMD Processor,2.9,4.0,500,0,AMD,No OS,2.2,16463.52
Toshiba,Notebook,15.6,0,0,1366.0,768.0,100.45466986113651,Intel Core i3,2.4,4.0,500,0,Intel,Windows 10,2.0,26053.92
