,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,45,0,3,36,1,2,5,7500.0,0,7500.0,0.576,8024,78,0.696,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,49,1,2,39,3,2,2,11332.0,946,10386.0,0.857,3806,65,0.667,0.083,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2,48,1,4,40,5,1,2,2514.0,2251,263.0,0.852,3942,65,0.625,0.895,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3,47,0,3,36,4,3,6,5822.0,0,5822.0,0.655,3240,38,0.652,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4,42,1,4,35,3,2,2,18274.0,1623,16651.0,0.681,3886,81,0.8,0.089,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5,49,0,5,36,6,2,2,34516.0,2019,32497.0,0.614,3820,72,0.532,0.058,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
6,57,0,3,36,6,2,3,3136.0,1422,1714.0,0.591,1260,34,0.889,0.453,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
7,46,0,3,36,5,2,2,4668.0,0,4668.0,0.89,1612,47,1.474,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
8,37,1,2,32,3,3,5,32056.0,1887,30169.0,0.831,2730,68,0.7,0.059,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
9,57,0,1,50,3,2,2,1609.0,0,1609.0,0.669,4770,85,0.7,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
